2.689003500000000102e-01 6.508943799999999946e-01 8.327418300000000162e-01 5.834204499999999793e-01 7.847593000000000485e-01 8.430793500000000051e-01 8.220792000000000099e-01
2.684825000000000128e-01 6.501396400000000186e-01 8.521531900000000048e-01 5.775100199999999573e-01 7.764874899999999469e-01 8.386053900000000061e-01 8.220792000000000099e-01
2.679667099999999968e-01 6.596565199999999685e-01 8.236179999999999612e-01 5.715995900000000463e-01 7.645463200000000015e-01 8.078791300000000009e-01 7.862461499999999770e-01
2.674509299999999756e-01 6.683375799999999867e-01 8.083710600000000301e-01 5.656894300000000486e-01 7.526051499999999450e-01 7.996056499999999456e-01 7.862461499999999770e-01
2.669351400000000152e-01 6.471914100000000225e-01 7.619484600000000496e-01 5.597790000000000266e-01 7.453255800000000431e-01 7.731217599999999912e-01 7.461415900000000212e-01
2.664193499999999992e-01 6.336649399999999543e-01 7.746213100000000074e-01 5.550836399999999893e-01 7.560589699999999969e-01 8.113406300000000071e-01 7.863728500000000121e-01
2.659035599999999833e-01 6.540121300000000248e-01 7.744202599999999714e-01 5.517619400000000063e-01 7.667936699999999828e-01 8.516611099999999990e-01 8.207948000000000466e-01
2.653884100000000190e-01 6.722867300000000546e-01 7.739966900000000427e-01 5.484399599999999486e-01 7.612436399999999992e-01 8.056053699999999873e-01 8.220792000000000099e-01
2.634766299999999895e-01 6.393373300000000370e-01 7.621000199999999891e-01 5.451179900000000522e-01 7.532491300000000445e-01 8.111747500000000555e-01 7.890023999999999926e-01
2.527086800000000189e-01 6.622155800000000259e-01 7.703720899999999538e-01 5.417960099999999946e-01 7.452546100000000395e-01 8.131637000000000448e-01 7.890023999999999926e-01
2.419407399999999875e-01 6.526397299999999735e-01 7.595255499999999937e-01 5.384740300000000479e-01 7.251152299999999995e-01 8.007480099999999545e-01 7.890023999999999926e-01
2.311721499999999929e-01 6.283581200000000200e-01 7.364800000000000235e-01 5.351520600000000405e-01 7.031963599999999648e-01 7.746553400000000256e-01 7.421599500000000127e-01
2.204042099999999893e-01 6.436889099999999475e-01 6.771766000000000174e-01 5.318300799999999828e-01 6.812774900000000411e-01 7.284634500000000124e-01 7.200942799999999755e-01
2.096362599999999909e-01 6.220489200000000052e-01 5.461528700000000125e-01 5.285081099999999754e-01 6.816362799999999833e-01 7.218769099999999828e-01 7.012916900000000231e-01
2.008138100000000092e-01 6.262973099999999960e-01 3.997490799999999789e-01 5.251864099999999924e-01 6.852583199999999763e-01 7.491448000000000551e-01 7.175063900000000494e-01
